parcel_id	muni_code	tax_cd	apportionment_pct_land	apportionment_pct_total	reval_land_value	reval_total_value	disclosure_total	acres	land_av	total_av	co_taxable	muni_taxable	sch_taxable	vlg_taxable	timestamp	active_cd	major_type	cns_av
10949	512200	H	99.0000	46.0000	30195	66240	0	0.07	28710	59800	52534	52534	52534	0	6/17/2016 17:17:49	A	B	59800
10949	512200	N	1.0000	54.0000	305	77760	0	0.01	290	70200	70200	70200	70200	0	6/17/2016 17:17:49	A	B	70200
11697	512200	H	61.0000	44.0000	124440	131560	0	15.50	119499	127996	32700	32700	32700	0	6/17/2016 17:17:49	A	C	127996
11697	512200	N	39.0000	56.0000	79560	167440	0	2.14	76401	162904	162904	162904	162904	0	6/17/2016 17:17:49	A	C	162904
11839	512200	H	81.0000	31.0000	47790	111290	0	1.00	45441	86304	86304	86304	86304	0	6/17/2016 17:17:49	A	B	86304
11839	512200	N	19.0000	69.0000	11210	247710	0	1.80	10659	192096	192096	192096	192096	0	6/17/2016 17:17:49	A	B	192096
12835	512200	H	80.0000	71.0000	24800	168270	0	0.20	23600	161170	161170	161170	161170	0	6/17/2016 17:17:49	A	B	161170
12835	512200	N	20.0000	29.0000	6200	68730	0	0.12	5900	65830	65830	65830	65830	0	6/17/2016 17:17:49	A	B	65830
13772	512200	H	92.0000	81.0000	130364	499642	0	10.00	208524	484756	305187	305187	305187	0	6/17/2016 17:17:49	A	C	484756
13772	512200	N	8.0000	19.0000	11336	129358	0	17.30	18132	113708	113708	113708	113708	0	6/17/2016 17:17:49	A	C	113708
109	513000	H	60.0000	45.0000	11830	498000	0	10.00	150000	285000	285000	285000	285000	0	6/17/2016 17:17:49	A	A	285000
109	513000	N	40.0000	55.0000	79170	102000	0	64.00	100000	350000	350000	350000	350000	0	6/17/2016 17:17:49	A	A	350000
1243	513800	H	10.0000	10.0000	0	0	0	15.80	35720	35720	455	455	455	0	6/17/2016 17:17:49	A	C	35720
1243	513800	N	90.0000	90.0000	0	0	0	120.30	321480	321480	222296	222296	222296	0	6/17/2016 17:17:49	A	C	321480
2177	514600	H	9.0000	3.0000	6300	6000	0	1.34	6000	6000	0	0	0	0	6/17/2016 17:17:49	A	B	6000
2177	514600	N	91.0000	97.0000	63700	194000	0	2.00	64000	194000	194000	194000	194000	0	6/17/2016 17:17:49	A	B	194000
2591	514600	H	26.0000	28.0000	33750	197000	0	3.25	35000	200000	200000	200000	200000	0	6/17/2016 17:17:49	A	B	200000
2591	514600	N	74.0000	72.0000	101250	788000	0	6.25	100000	525000	525000	525000	525000	0	6/17/2016 17:17:49	A	B	525000
3054	514600	H	88.0000	88.0000	62128	198000	0	0.54	62128	198000	198000	198000	198000	0	6/17/2016 17:17:49	A	A	198000
3054	514600	N	12.0000	12.0000	8472	27000	0	0.21	8472	27000	27000	27000	27000	0	6/17/2016 17:17:49	A	A	27000
3337	514600	H	81.0000	90.0000	66420	146880	0	10.00	66420	227700	227700	227700	227700	0	6/17/2016 17:17:49	A	A	227700
3337	514600	N	19.0000	10.0000	15580	6120	0	4.60	15580	25300	25300	25300	25300	0	6/17/2016 17:17:49	A	A	25300
37965	514600	H	62.0000	17.0000	0	0	0	8.00	80000	80000	2222	2222	2222	0	6/17/2016 17:17:49	A	B	80000
37965	514600	N	38.0000	83.0000	0	0	0	1.00	50000	395000	395000	395000	395000	0	6/17/2016 17:17:49	A	B	395000
22974	515400	H	20.0000	22.0000	0	1950	0	10.00	5340	21186	21186	21186	21186	0	6/17/2016 17:17:49	A	B	21186
22974	515400	N	80.0000	78.0000	0	50	0	1.30	21360	76314	76314	76314	76314	0	6/17/2016 17:17:49	A	B	76314
24462	515400	H	47.0000	82.0000	0	0	0	10.00	74802	390402	390402	390402	390402	0	6/17/2016 17:17:49	A	A	390402
24462	515400	N	53.0000	18.0000	0	0	0	16.50	85698	85698	85698	85698	85698	0	6/17/2016 17:17:49	A	A	85698
24552	515400	H	54.0000	79.0000	0	1900	0	9.11	72100	229100	229100	229100	229100	0	6/17/2016 17:17:49	A	A	229100
24552	515400	N	46.0000	21.0000	0	3600	0	92.09	60900	60900	60900	60900	60900	0	6/17/2016 17:17:49	A	A	60900
24610	515400	H	90.0000	50.0000	0	0	0	106.30	450000	750000	385575	385575	385575	0	6/17/2016 17:17:49	A	B	750000
24610	515400	N	10.0000	50.0000	0	0	0	20.20	50000	750000	750000	750000	750000	0	6/17/2016 17:17:49	A	B	750000
24621	515400	H	75.0000	60.0000	0	0	0	10.00	124510	337310	337310	337310	337310	0	6/17/2016 17:17:49	A	A	337310
24621	515400	N	25.0000	40.0000	0	0	0	60.90	41690	221690	221690	221690	221690	0	6/17/2016 17:17:49	A	A	221690
26612	515400	H	20.0000	43.0000	0	0	0	0.10	5000	65000	55347	55347	55347	0	6/17/2016 17:17:49	A	B	65000
26612	515400	N	80.0000	57.0000	0	0	0	0.90	20000	85000	85000	85000	85000	0	6/17/2016 17:17:49	A	B	85000
38855	515400	H	40.0000	57.0000	0	0	0	0.65	30000	100000	37500	37500	41700	0	6/17/2016 17:17:49	A	A	100000
38855	515400	N	60.0000	43.0000	0	0	0	0.75	45000	75000	75000	75000	75000	0	6/17/2016 17:17:49	A	A	75000
